ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,Dist,prob
130.38770631018,18.93569796023,661001514168394112,3.5413,0.2071,-42.236,0.198,-17.999,0.146,0.0223,1,1.092,18.165167, 2.594589,NOT_AVAILABLE,0,274.0739,1.0
130.34390436712,18.93381888658,661004400386393984,5.3962,0.0186,-36.584,0.019,-12.452,0.015,0.0104,0,0.994,12.648937, 1.221659,VARIABLE     ,0,181.3656,1.0
130.33458482876,18.96184610615,661004713920630656,5.5954,0.0968,-35.463,0.106,-13.151,0.082,0.034,1,0.969,17.066210, 2.900766,NOT_AVAILABLE,0,,1.0
130.41548437666,19.0020585147,661005121940938624,9.739,0.1403,-28.72,0.152,-31.074,0.112,0.0227,0,1.024,17.887897, 0.291597,NOT_AVAILABLE,0,,1.0
130.30785167268,18.96908515911,661005538554352000,5.5573,0.0561,-36.135,0.056,-13.281,0.043,0.00799,0,1.434,15.279802, 2.463726,NOT_AVAILABLE,0,170.5098,1.0
130.29464376811,19.03153736252,661006019590629760,5.7876,0.1093,-37.931,0.114,-13.096,0.09,0.0276,0,1.169,16.867666, 3.069013,NOT_AVAILABLE,0,,1.0
130.39980222245,19.10702066646,661008527851529728,5.3457,0.0175,-35.039,0.018,-12.744,0.013,0.0194,0,1.024,13.623213, 1.592686,VARIABLE     ,0,,1.0
130.74165174045,18.90977413829,661010005319096192,5.3402,0.1583,-36.729,0.169,-12.972,0.113,0.0301,0,1.032,18.323666,-0.145819,NOT_AVAILABLE,0,,1.0
130.77305101154,18.91826916101,661010069743524480,5.2162,0.196,-34.584,0.203,-11.403,0.141,0.0191,0,1.016,18.483648, 3.018351,NOT_AVAILABLE,0,253.8966,1.0
130.73768725487,18.92422361149,661010314558042368,5.8343,0.0187,-28.152,0.02,-16.204,0.013,0.0212,0,1.229,12.182944, 1.158116,NOT_AVAILABLE,0,171.267,1.0
130.77920715268,19.06830323831,661015915195312512,5.4986,0.0514,-36.694,0.053,-12.013,0.037,0.0332,0,2.859, 9.441937, 0.670110,NOT_AVAILABLE,0,170.1719,1.0
130.81593864502,19.10913728732,661017216569202432,5.1825,0.088,-36.166,0.094,-12.729,0.063,0.0274,0,1.012,17.237532, 2.953804,NOT_AVAILABLE,0,205.4752,1.0
130.94598003186,19.06543975868,661018079858891136,13.4899,0.0352,-10.36,0.035,-35.241,0.024,0.0184,0,1.002,15.206805, 2.732941,NOT_AVAILABLE,0,,1.0
130.94641394745,19.06321743214,661018079858891648,13.4543,0.0187,-10.001,0.019,-33.182,0.013,0.0179,0,1.094,13.502717, 2.236727,VARIABLE     ,0,75.0216,1.0
130.9362080772,19.06624170203,661018835773136512,5.5112,0.0367,-37.435,0.037,-13.251,0.024,0.0268,0,0.997,15.191929, 2.206473,VARIABLE     ,0,186.7042,1.0
130.93133368613,19.07581464028,661018904492612224,5.067,0.0185,-33.69,0.019,-12.725,0.013,0.0253,0,1.093,13.044540, 1.333700,NOT_AVAILABLE,0,192.5905,1.0
130.93756464971,19.08760834567,661018938852349056,3.9291,0.1847,-27.745,0.181,-30.179,0.117,0.0203,0,0.95,18.231094, 2.792713,NOT_AVAILABLE,0,252.9821,0.92
130.90831354071,19.12976829634,661022546624876288,13.5774,0.0179,-95.916,0.019,29.642,0.013,0.0283,0,1.036,13.325658, 2.199207,VARIABLE     ,0,74.172,1.0
130.90517247908,19.16525551477,661022954645591296,4.0569,0.463,-34.006,0.508,-49.886,0.346,0.0237,0,1.046,19.662569, 2.680878,NOT_AVAILABLE,0,,0.96
