ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,prob
118.99339734282,-60.93675848077,5290716229056925952,2.4092,0.0219,-4.317,0.027,11.73,0.029,0.00808,0,0.964,15.363064, 1.578239,VARIABLE     ,0,0.7
119.05107767522,-60.94503715503,5290716366497694720,3.6283,0.0132,10.561,0.017,34.706,0.016,0.0121,0,0.818,11.043009, 0.783833,NOT_AVAILABLE,0,0.68
119.10271178661,-60.9233462655,5290716499634836736,0.5824,0.0411,-11.324,0.052,21.162,0.046,0.00807,0,0.977,16.594673, 1.163346,NOT_AVAILABLE,0,0.5
119.10357703118,-60.89533294975,5290716602714082816,1.1065,0.0868,-27.786,0.113,5.25,0.094,0.00543,0,0.963,17.797089, 1.857143,NOT_AVAILABLE,0,0.5
119.02440397529,-60.9263192509,5290716641373788416,2.3741,0.076,-4.96,0.095,11.561,0.087,0.00332,0,0.981,17.59545, 2.487972,NOT_AVAILABLE,0,0.7
119.03040650525,-60.91356265995,5290716641373789056,0.8663,0.0639,-6.016,0.082,11.216,0.074,0.024,0,1.277,16.91301, 1.384604,NOT_AVAILABLE,0,0.52
119.04364606212,-60.90411156127,5290716675733528832,2.3462,0.0463,-3.554,0.061,10.995,0.053,0.00218,0,1.028,16.662382, 2.039218,NOT_AVAILABLE,0,0.7
119.06029098418,-60.90867919569,5290716675733528960,2.4634,0.0417,-4.553,0.053,11.906,0.05,0.000387,0,0.878,16.539865, 2.227762,NOT_AVAILABLE,0,0.7
119.06426224672,-60.88562397636,5290716847532222336,2.3827,0.0532,-4.858,0.07,11.29,0.06,0.0111,0,0.897,17.047926, 2.208727,VARIABLE     ,0,0.7
119.09457849418,-60.8616914205,5290716881891963520,2.4538,0.0391,-4.149,0.051,12.041,0.047,0.0188,0,3.015,11.417289, 0.744032,NOT_AVAILABLE,0,0.7
118.96738091381,-60.90095252246,5290717156769863296,2.4667,0.0523,-3.813,0.068,11.18,0.061,0.0144,0,1.056,16.898802, 2.228355,NOT_AVAILABLE,0,0.7
118.91010292664,-60.88374031595,5290717397289755520,3.233,0.601,-17.699,0.826,1.682,0.74,0.214,84,7.162,16.09589, 0.857134,NOT_AVAILABLE,0,0.66
119.0319158291,-60.87445210583,5290717500367250688,2.404,0.0891,-4.483,0.109,10.679,0.102,0.0247,0,1.004,17.84356, 2.543407,VARIABLE     ,0,0.7
118.98989312141,-60.89299864083,5290717534726986496,0.8734,0.0936,-6.339,0.124,17.753,0.111,0.0272,0,0.997,17.914427, 1.907804,NOT_AVAILABLE,0,0.56
118.99318009195,-60.88473178381,5290717534726987136,2.4739,0.0148,-4.991,0.019,11.821,0.017,0.0209,0,0.977,14.338912, 1.255931,VARIABLE     ,0,0.7
119.09165607515,-60.86188060776,5290716877594596608,2.3542,0.0517,-4.752,0.07,10.895,0.072,0.0176,0,0.937,16.772497, 1.893608,NOT_AVAILABLE,0,0.7
119.04696643419,-60.8494076643,5290717672165866496,2.3931,0.0222,-5.148,0.029,11.501,0.025,0.0229,0,1.043,15.300507, 1.571626,VARIABLE     ,0,0.7
118.98264911033,-60.84823184779,5290717843964556672,0.8096,0.0313,-2.925,0.041,16.536,0.037,0.026,0,1.049,15.968726, 1.163997,NOT_AVAILABLE,0,0.56
118.99633951353,-60.84556790595,5290717843964557056,2.3649,0.0181,-4.45,0.024,10.88,0.021,0.035,0,1.044,14.839077, 1.535600,VARIABLE     ,0,0.7
119.036811287,-60.82679609096,5290717981403512704,2.3714,0.0408,-4.209,0.057,11.974,0.047,0.0238,0,0.94,16.521095, 2.036691,VARIABLE     ,0,0.7
119.28234504198,-60.97586411287,5290718050123228160,0.9612,0.0463,-9.545,0.057,10.875,0.057,0.0121,1,0.963,16.915825, 1.423641,NOT_AVAILABLE,0,0.52
119.22825992157,-60.98102316466,5290718080182732800,1.105,0.0253,-3.781,0.031,10.811,0.031,0.0102,0,1.072,15.668205, 1.214792,VARIABLE     ,0,0.52
119.22997037035,-60.96991773814,5290718084482964992,2.4828,0.04,-4.641,0.051,11.626,0.049,0.00409,0,1.041,16.534834, 2.064721,VARIABLE     ,0,0.7
119.25280642552,-60.95820315636,5290718118842704768,2.4521,0.0175,-4.38,0.022,10.82,0.021,0.0105,0,1.014,14.848412, 1.378926,VARIABLE     ,0,0.7
119.24319105758,-60.9601792555,5290718325001134592,1.73,0.0134,-5.542,0.017,13.377,0.017,0.0111,0,1.019,14.19715, 1.097580,NOT_AVAILABLE,0,0.7
119.21050573395,-60.9602621732,5290718359360871680,2.5712,0.077,-4.601,0.093,11.644,0.092,0.00667,0,0.953,17.685368, 2.815712,NOT_AVAILABLE,0,0.7
119.27614253553,-60.93961791197,5290718428080351744,0.9672,0.0208,-10.201,0.026,12.48,0.025,0.0102,0,0.959,15.182573, 1.038018,NOT_AVAILABLE,0,0.54
119.28996326802,-60.93516376795,5290718462440090880,2.3294,0.0528,-4.231,0.064,11.716,0.067,0.00299,0,1.011,17.022394, 2.229890,NOT_AVAILABLE,0,0.7
119.33115104519,-60.94123452425,5290718565519306752,2.4122,0.0177,-2.194,0.022,10.847,0.021,0.0151,0,1.045,14.676857, 1.636903,VARIABLE     ,0,0.7
119.34702341946,-60.93106228716,5290718599879047168,2.4625,0.0128,-4.633,0.016,11.385,0.017,0.00614,1,0.901,11.460878, 0.670960,NOT_AVAILABLE,0,0.7
119.36137914119,-60.93034775207,5290718599879127040,2.4528,0.027,-4.746,0.034,11.102,0.036,0.0105,0,0.999,15.78448, 1.706229,VARIABLE     ,0,0.7
119.33661004183,-60.92865757691,5290718634240490368,2.3555,0.0412,-4.803,0.05,11.289,0.05,0.00819,1,0.962,16.55943, 2.069931,NOT_AVAILABLE,0,0.7
119.40772315557,-60.90885589742,5290718737318003840,2.3814,0.0445,-3.112,0.058,12.549,0.05,0.00171,1,2.71,8.76762, 0.141315,NOT_AVAILABLE,0,0.7
119.40986936906,-60.89045929058,5290718806037481728,2.4189,0.0134,-4.125,0.017,11.134,0.015,0.00588,0,0.942,11.146848, 0.542593,NOT_AVAILABLE,0,0.7
119.40614776677,-60.89778804732,5290718806039193984,2.4172,0.0165,-4.904,0.021,11.223,0.019,0.00128,0,0.793,10.807093, 0.421426,NOT_AVAILABLE,0,0.7
119.30411496953,-60.92101679491,5290718836097039616,2.5331,0.0714,-5.259,0.095,11.326,0.085,0.00176,0,0.945,17.446438, 2.519001,NOT_AVAILABLE,0,0.7
119.34129772251,-60.89504262614,5290718943476432512,2.4442,0.0106,-4.031,0.013,11.277,0.012,0.0103,0,1.057,13.28087, 1.000441,VARIABLE     ,0,0.7
119.34801648236,-60.88907129743,5290719046555648384,0.9824,0.0267,-7.007,0.036,15.977,0.033,0.0152,0,0.968,15.727392, 1.334652,NOT_AVAILABLE,0,0.66
119.37650552503,-60.87435777651,5290719076615255552,3.3605,0.3789,-1.945,0.506,12.185,0.436,0.137,0,4.065,17.973894, 2.781706,NOT_AVAILABLE,0,0.7
119.19928319895,-60.94713177264,5290719115275116288,2.4844,0.0148,-2.615,0.018,11.514,0.018,0.0149,1,1.21,10.74114, 0.527670,NOT_AVAILABLE,0,0.7
119.1796118199,-60.90963476677,5290719390148237184,2.448,0.0107,-4.833,0.013,11.326,0.013,0.0141,1,0.804,11.502484, 0.664802,NOT_AVAILABLE,0,0.7
119.17297767119,-60.90041255152,5290719488932097536,1.8329,0.0786,-5.894,0.099,14.409,0.086,0.00385,0,1.019,17.61864, 2.537809,NOT_AVAILABLE,0,0.7
119.23725002952,-60.86659547298,5290719626371085696,0.9193,0.0644,-10.751,0.08,9.652,0.074,0.00893,1,1.007,17.401033, 1.512644,NOT_AVAILABLE,0,0.52
119.29548840012,-60.88889013957,5290719665030852096,2.4269,0.0148,-4.704,0.018,11.537,0.018,0.0152,1,0.942,9.437087, 0.140376,NOT_AVAILABLE,0,0.7
119.34233789663,-60.86822641697,5290719802469808768,1.2547,0.0132,-3.89,0.017,12.688,0.016,0.0108,0,1.033,14.124241, 0.933717,NOT_AVAILABLE,0,0.72
119.36842530098,-60.85812229764,5290719836829549056,2.473,0.0231,-4.574,0.028,11.646,0.025,0.0023,0,2.1,13.201947, 0.988217,VARIABLE     ,1,0.7
119.25528130708,-60.86831546019,5290720008628235392,2.3475,0.0362,-4.51,0.045,10.563,0.04,0.00631,0,0.972,16.225222, 1.915038,NOT_AVAILABLE,0,0.7
119.29509898975,-60.84721819304,5290720042987976576,2.4621,0.0108,-4.627,0.013,10.94,0.013,0.0101,0,1.054,12.787607, 0.910316,VARIABLE     ,0,0.7
119.34651406135,-60.82731133404,5290720107406838400,2.448,0.0134,-4.142,0.017,10.694,0.015,0.0114,1,0.889,11.172894, 0.758729,NOT_AVAILABLE,0,0.7
119.42405396875,-60.88899832162,5290720283506232192,0.9973,0.1249,-6.034,0.185,9.644,0.138,0.065,0,3.173,16.587986, 1.427623,NOT_AVAILABLE,0,0.58
119.4583710717,-60.86053767911,5290720416645188992,0.6723,0.0887,-6.266,0.113,15.57,0.094,0.00111,0,1.035,17.840675, 1.654802,NOT_AVAILABLE,0,0.56
119.49176566455,-60.84592548103,5290720455304928512,2.4642,0.0158,-4.695,0.02,11.038,0.019,0.00811,0,0.901,8.991874, 0.170486,NOT_AVAILABLE,0,0.7
119.44610553379,-60.86074033102,5290720524024401920,2.4177,0.0305,-5.074,0.041,11.024,0.034,0.00826,0,1.037,15.879161, 1.763970,NOT_AVAILABLE,0,0.7
119.45534752688,-60.84731121217,5290720627103618432,2.4121,0.0529,-5.064,0.069,11.828,0.059,0.0052,0,0.965,16.960318, 2.233023,NOT_AVAILABLE,0,0.7
119.49000720016,-60.82961273917,5290720657162652672,1.5612,0.0105,-11.789,0.013,8.096,0.013,0.00055,0,0.98,13.282057, 0.831521,NOT_AVAILABLE,0,0.7
119.48675278787,-60.84268804035,5290720657163454080,2.4294,0.0114,-5.12,0.014,10.868,0.014,0.00374,0,1.03,12.55777, 0.874915,NOT_AVAILABLE,0,0.7
119.47834692461,-60.8407541595,5290720661463358336,2.3652,0.0524,-4.431,0.068,10.83,0.059,0.00628,0,0.973,16.949203, 2.107178,NOT_AVAILABLE,0,0.7
119.44049900139,-60.84504483616,5290720695823010944,2.673,0.0725,-8.491,0.1,-7.562,0.078,0.00604,0,1.034,17.384714, 2.928257,NOT_AVAILABLE,0,0.6
119.54411660603,-60.84826106309,5290720764542575360,2.4092,0.0184,-4.329,0.028,11.986,0.021,0.0128,0,1.02,14.77218, 1.355441,VARIABLE     ,0,0.7
119.54676646141,-60.83325566088,5290720798902314240,2.3591,0.0219,-5.144,0.027,11.221,0.028,0.00358,0,1.776,13.680722, 1.104109,VARIABLE     ,0,0.7
119.55754915287,-60.83851855089,5290720798902314368,1.6741,0.0593,-11.205,0.073,-1.437,0.064,0.0019,0,1.084,16.96579, 1.905279,NOT_AVAILABLE,0,0.8
119.55765733104,-60.83084203045,5290720798902315008,2.0425,0.0313,-6.907,0.04,11.912,0.037,0.00449,0,1.041,15.791149, 1.952287,NOT_AVAILABLE,0,0.7
119.53198059216,-60.83382424181,5290720833262052480,2.4074,0.0172,-4.879,0.022,11.332,0.02,0.00679,0,1.015,14.607625, 1.305215,VARIABLE     ,0,0.7
