ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,NSS,prob
167.90743665805,-59.948897804,2.1083,0.0366,-10.714,0.04,5.53,0.04, 1.08e-02,  0,0.966,16.102493, 1.737650,0,0.84
167.86914099516,-59.96912006972,1.9232,0.0152,-10.264,0.015,4.095,0.016, 1.16e-02,  0,0.909,12.945854, 0.822234,0,0.84
167.9489737562,-59.92266986784,1.6792,0.6126,-8.822,0.637,1.961,0.63, 2.22e-01, 57,7.563,17.835709, 1.555199,0,0.58
167.86127670405,-59.90560801042,1.4753,0.0925,-11.903,0.091,0.554,0.088, 3.76e-02,  1,1.734,16.771214, 2.067308,0,0.94
167.86225244871,-59.87904309214,1.5906,0.0161,-12.018,0.017,-0.074,0.017, 1.80e-02,  0,1.033,10.776385, 0.412928,0,0.84
168.15007991156,-59.88153476505,1.9555,0.0629,-10.641,0.066,4.598,0.063, 1.35e-02,  1,1.362,16.704538, 2.201500,0,0.84
168.17342690553,-59.86096772044,1.7023,0.0187,-10.599,0.019,2.35,0.018, 9.41e-03,  0,0.998,14.568916, 1.112156,0,0.84
168.22410028772,-59.80011006225,1.965,0.301,-4.134,0.311,6.003,0.294, 7.42e-02, 62,4.357,17.440182, 1.376028,0,0.86
168.01808667367,-59.92252918841,1.9814,0.0935,-11.103,0.096,5.066,0.089, 1.68e-02,  1,1.071,17.729836, 2.477076,0,0.84
168.0434690826,-59.90336983267,1.5611,0.0137,-8.916,0.014,5.195,0.014, 2.89e-02,  0,0.857,13.450392, 0.799891,0,1.0
168.04753790246,-59.87761404547,2.0966,0.0373,-3.309,0.041,0.895,0.043, 1.89e-02,  0,1.021,16.192880, 1.713305,0,0.64
168.00412297459,-59.84498884871,2.7668,0.5775,-4.64,0.656,7.926,0.478, 1.39e-01, 26,4.803,17.938858,         ,0,0.84
167.97787857044,-59.8942129027,1.4076,0.1065,-12.071,0.108,2.211,0.102, 2.06e-02,  2,1.083,17.845985, 2.112114,0,0.78
167.90784525725,-59.8173216088,1.209,0.0298,-17.984,0.031,0.897,0.033, 5.85e-03, 43,2.318,12.244932, 0.684906,0,0.5
168.10398918913,-59.83505778137,1.3613,0.0266,-12.624,0.028,2.27,0.03, 1.25e-02,  0,0.982,15.500159, 1.217894,0,0.98
168.11227509807,-59.77829208386,4.4763,0.7638,-6.063,0.716,9.165,0.806, 1.21e-01, 74,15.133,17.365656, 1.596287,0,0.76
167.94626811218,-59.78825916032,1.7393,0.0646,-20.796,0.063,3.201,0.066, 1.37e-02,  0,1.012,17.171398, 2.024611,0,0.84
167.92087304097,-59.74603073062,1.3642,0.067,-16.528,0.065,1.362,0.069, 4.77e-03,  0,1.032,17.242361, 1.927542,0,0.7
168.02769276033,-59.7557370711,1.3904,0.0337,-18.796,0.033,-3.076,0.034, 7.84e-03,  0,0.936,15.981692, 1.305907,0,0.84
168.03996943389,-59.72930772288,3.529,0.0126,-2.399,0.012,5.983,0.013, 4.94e-03,  1,0.788,11.603014, 0.887710,0,0.84
167.95861527854,-59.72528951068,2.1407,0.0211,-10.467,0.021,5.255,0.022, 1.04e-02,  0,1.34,14.151931, 1.110177,0,0.84
168.44323332137,-59.76919912771,1.6455,0.0517,-14.345,0.052,4.55,0.052, 2.41e-02,  0,0.987,16.687641, 2.075892,0,0.84
168.52263949856,-59.65570652242,1.3186,0.0865,-12.075,0.089,1.928,0.082, 2.34e-02,  0,0.96,17.750376, 2.077133,0,0.7
168.51991389516,-59.65207007969,1.5088,0.1411,-10.634,0.147,4.312,0.128, 3.57e-02,  2,1.636,17.853895, 2.011751,0,0.82
168.56707968609,-59.64400945063,1.7431,0.0151,-18.331,0.015,5.818,0.014, 4.96e-02, 22,0.851,11.062974, 0.456711,0,0.84
168.64900011172,-59.62420146925,1.8379,0.1262,-12.714,0.134,1.554,0.12, 2.29e-02,  0,0.984,17.999683,         ,0,0.84
168.68182932233,-59.61014312155,1.809,0.098,-5.025,0.103,7.58,0.092, 2.82e-02,  0,0.974,17.959898, 2.282127,0,0.9
168.64069753418,-59.60625280833,1.9371,0.0839,-10.581,0.088,4.432,0.073, 3.31e-02,  0,2.271,16.049732, 1.744373,0,0.84
168.74883205028,-59.58602102838,2.888,0.0307,-14.539,0.032,6.167,0.027, 3.24e-02,  0,1.363,14.932145, 1.551014,0,0.84
168.65665410683,-59.56695951436,2.6991,0.4699,-3.91,0.513,-0.525,0.381, 2.04e-01, 74,8.516,17.430006, 1.680950,0,0.6
168.5991861158,-59.5903403232,1.4797,0.0152,-21.041,0.016,2.7,0.013, 3.20e-02,  1,0.999,12.892471, 0.735496,0,0.5
168.57806778381,-59.50253897478,1.6883,0.0671,-4.671,0.073,3.91,0.06, 2.00e-02,  9,2.658,15.560896, 1.357389,0,0.64
168.55399655491,-59.50077321036,2.1404,0.0452,-9.209,0.048,3.984,0.041, 1.22e-02,  0,1.267,16.171707, 1.726119,0,0.84
168.3923871765,-59.80044735112,2.0256,0.5637,-7.451,0.568,0.661,0.594, 1.51e-01,  0,6.326,17.847725, 1.730350,0,0.6
168.38957025062,-59.78243575539,1.6921,0.0128,-9.059,0.013,7.766,0.013, 2.61e-02,  1,0.999,13.037260, 1.015134,0,0.84
168.43479605151,-59.77894158951,2.3434,0.408,-12.242,0.431,7.687,0.411, 1.44e-01,  0,8.126,16.631138, 1.288279,0,0.84
168.40389241383,-59.76601688439,1.2722,0.0537,-19.06,0.054,-2.072,0.055, 1.91e-02,  1,0.995,16.840527, 1.638027,0,0.6
168.27772809102,-59.7964237,1.5451,0.0332,-15.719,0.034,-4.972,0.034, 1.37e-02,  3,1.065,15.946392, 1.525972,0,0.56
168.16549804362,-59.77244214854,1.9784,0.3275,-14.002,0.348,-2.295,0.33, 8.69e-02, 74,14.491,14.518703, 1.421269,0,0.82
168.24876819161,-59.72629356537,2.5777,0.0146,-9.553,0.015,3.668,0.014, 1.23e-02,  1,0.891,13.776108, 1.134442,0,0.84
168.2457928446,-59.72409199117,1.9155,0.5782,0.307,0.673,16.523,0.582, 2.40e-01, 58,7.787,17.377575, 1.388357,0,0.64
168.1988919219,-59.71845721957,1.7558,0.4301,-3.032,0.447,5.717,0.452, 1.96e-01,  0,5.375,17.440313, 1.538103,0,0.56
168.39201672187,-59.70018658153,1.7262,0.3742,-3.586,0.426,7.553,0.398, 1.02e-01, 74,25.114,13.648360, 0.837601,0,0.6
168.33857931788,-59.6842723313,2.3424,0.0747,-11.137,0.081,5.911,0.074, 3.11e-02,  0,1.414,16.818758, 2.449413,0,0.84
168.44457817451,-59.71072681694,2.2956,0.4316,-8.979,0.451,2.726,0.422, 1.12e-01,  3,5.078,17.598928,         ,0,0.8
168.20955953367,-59.67741205821,1.4602,0.0715,-12.625,0.079,1.085,0.075, 3.84e-02, 50,5.224,14.053969, 0.967016,0,0.88
168.26100041597,-59.65960501502,1.7652,0.0552,-21.463,0.06,4.687,0.055, 3.41e-02,  1,1.079,16.536787, 1.858235,0,0.82
168.34497312849,-59.66007891671,2.6009,0.4296,-6.661,0.471,5.328,0.402, 1.24e-01, 70,17.011,15.467637, 1.752678,0,0.84
168.30466265841,-59.64163974872,2.054,0.0928,-10.225,0.099,4.063,0.088, 2.87e-02,  0,3.891, 9.052888, 0.058573,0,0.84
168.28111943261,-59.63975181915,2.0341,0.0284,-12.699,0.032,7.767,0.029, 1.63e-02,  0,0.97,15.600847, 1.507785,0,0.84
168.27326006403,-59.60304225968,1.8063,0.0144,-6.025,0.017,12.561,0.015, 2.54e-02, 11,0.945,12.899448, 0.921557,0,0.56
168.13742152751,-59.73693303013,1.6567,0.1227,-7.007,0.128,2.602,0.126, 2.84e-02,  8,1.396,17.794064, 1.540617,0,0.72
168.08149773102,-59.71608729241,2.4402,0.059,-13.487,0.059,5.596,0.06, 2.69e-02,  0,1.161,16.788605, 2.443051,0,0.84
168.12642034186,-59.69942933782,2.1554,0.0146,-21.774,0.015,4.972,0.019, 2.75e-03,  0,0.923,13.829244, 1.030335,0,0.74
168.18843307998,-59.67726987367,1.8916,0.4412,-11.823,0.729,4.211,0.595, 1.25e-01, 26,4.391,17.831930, 0.790737,0,0.78
168.15610925634,-59.67141162394,2.0323,0.0239,-10.654,0.025,4.923,0.026, 1.29e-02,  0,0.978,15.135404, 1.343030,0,0.84
168.08740797864,-59.68185978617,3.0272,0.3646,-11.149,0.369,12.508,0.372, 6.53e-02, 76,7.292,17.191833, 1.438709,0,0.8
168.04089155252,-59.69658550564,2.532,0.613,-3.258,0.589,7.139,0.602, 2.07e-01, 48,7.089,17.521477, 1.663252,0,0.74
168.01276446906,-59.68982598783,2.3424,0.0463,-14.905,0.046,-0.5,0.052, 7.06e-03,  0,1.143,16.373142, 2.519518,0,0.84
167.99083476988,-59.68005538897,2.8925,0.0966,-19.463,0.1,-3.375,0.112, 1.49e-02,  0,1.018,17.796717, 2.832931,0,0.82
168.03592014324,-59.61858631376,1.3555,0.042,-12.543,0.043,0.047,0.045, 1.09e-02,  0,1.029,16.122940, 1.406646,0,0.88
168.00356440444,-59.63367313472,4.9578,0.0746,-24.569,0.075,-10.106,0.084, 5.02e-03,  0,0.96,17.400944, 2.681725,0,0.54
168.01239285019,-59.63338385327,1.7261,0.0164,-3.066,0.016,7.015,0.018, 1.22e-02,  0,0.99,14.033255, 1.008147,0,0.98
168.1376553128,-59.63385579888,3.7138,0.7212,-13.455,0.767,7.041,0.737, 2.17e-01,  7,12.106,16.807606, 1.448546,0,0.74
168.01838293432,-59.5927774964,3.455,0.3918,-7.095,0.441,3.274,0.423, 5.50e-02, 47,3.783,17.883636, 1.784323,0,0.84
168.11240248755,-59.54935228324,3.0166,0.3016,-5.886,0.35,7.617,0.303, 6.17e-02, 58,3.217,17.538193, 1.709143,0,0.84
168.070384439,-59.52569205094,3.0825,0.2397,-10.973,0.278,10.183,0.257, 6.99e-02, 40,13.531,14.176097, 0.794495,0,0.82
168.03276166146,-59.55366235041,1.5122,0.0122,-12.598,0.012,2.997,0.014, 1.70e-02,  0,0.843,12.497787, 0.636046,0,0.86
168.02830603356,-59.55168225453,2.7916,0.3507,-7.056,0.365,5.656,0.4, 8.58e-02, 63,5.067,16.959343, 1.776632,0,0.84
167.98320737397,-59.53457711208,2.0697,0.0499,-12.226,0.058,9.616,0.059, 1.24e-02,  0,1.003,16.585878, 1.816091,0,0.84
