ra,dec,Source,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,Dist,prob
18.74276521622,85.63478845966,573883531408141184,0.6948,0.0588,-1.075,0.069,4.577,0.076,0.0362,0,1.058,17.056820, 1.439098,NOT_AVAILABLE,0,1106.2233,0.72
18.73396922596,85.67087089158,573883741861976832,0.0064,0.6104,-0.655,0.778,7.14,0.902,0.0121,0,1.044,20.514242, 1.954039,NOT_AVAILABLE,0,,0.68
18.02199914241,85.76546861351,573885386834044416,0.0854,0.0823,1.807,0.095,7.253,0.109,0.0251,0,0.978,17.840950, 0.835083,NOT_AVAILABLE,0,2237.0437,0.76
18.04118071523,85.76778786451,573885391130199936,0.6195,0.0167,-0.801,0.019,4.829,0.021,0.0285,0,1.008,14.580276, 0.674126,NOT_AVAILABLE,0,1533.4325,0.72
18.98751452014,85.7703024643,573885940886014592,0.9334,0.2383,1.52,0.278,7.208,0.326,0.00975,0,0.998,19.492668, 2.080744,NOT_AVAILABLE,0,,0.72
19.00118937932,85.78316010997,573886525001564032,0.9589,0.1091,-1.156,0.134,4.699,0.137,0.00184,1,1.176,17.938776, 1.519995,NOT_AVAILABLE,0,935.8005,0.68
18.85561090895,85.78223390938,573886525001564160,1.2785,0.0517,2.179,0.063,7.219,0.062,0.0113,0,0.978,17.009820, 1.736345,NOT_AVAILABLE,0,835.1686,0.7
17.85021208731,85.83438286268,573887310979412224,0.2482,0.2391,-1.583,0.269,6.613,0.325,0.0285,0,1.07,19.400833, 1.688919,NOT_AVAILABLE,0,,0.74
17.32500476651,85.78718400485,573888655303679616,1.0591,0.3582,2.136,0.407,8.463,0.457,0.0118,0,1.035,19.965963, 1.907272,NOT_AVAILABLE,0,,0.7
17.31897122191,85.78637345153,573888655305223680,0.5607,0.0439,2.111,0.05,8.22,0.051,0.0127,0,1.138,16.480274, 1.045862,NOT_AVAILABLE,0,1517.67,0.7
17.03963515313,85.79964140316,573888754088272512,0.3962,0.1152,-1.824,0.125,5.285,0.127,0.0362,0,1.006,18.002094, 0.927631,NOT_AVAILABLE,0,1979.8032,0.74
16.76155927252,85.83379296153,573889716161092096,0.6389,0.0556,4.521,0.061,6.107,0.068,0.0205,0,0.961,17.184256, 1.227367,NOT_AVAILABLE,0,1016.7202,0.58
22.01329475203,85.75755041702,573894187223227264,0.7224,0.2329,-0.685,0.32,5.452,0.32,0.00882,0,0.913,19.437400, 2.036385,NOT_AVAILABLE,0,,0.76
22.60095714895,85.77324934256,573894977497206528,0.7409,0.0176,-1.208,0.02,9.204,0.023,0.0255,0,0.989,14.797405, 1.179577,NOT_AVAILABLE,0,1189.699,0.64
21.91869319455,85.79817507824,573895900913561600,0.2429,0.1622,2.459,0.2,9.141,0.207,0.0625,0,1.526,18.235235, 1.707377,NOT_AVAILABLE,0,774.793,0.7
20.91795455889,85.76922334227,573896931705695232,0.6402,0.3284,0.574,0.436,5.22,0.456,0.00917,1,1.064,19.899805, 1.575870,NOT_AVAILABLE,0,,0.68
20.606137322,85.75259104122,573897004721774336,0.4874,0.0368,-0.725,0.045,6.317,0.049,0.0116,0,0.986,16.351517, 0.943662,NOT_AVAILABLE,0,1471.7314,0.74
21.7194805534,85.87803571593,573899577405591680,0.417,0.0954,0.163,0.116,5.934,0.13,0.00961,0,1.02,18.266900, 1.418243,NOT_AVAILABLE,0,1141.496,0.76
21.79531240212,85.88759662937,573899611765333504,0.8321,0.1128,0.621,0.141,5.522,0.155,0.00806,0,0.997,18.515593, 2.094311,NOT_AVAILABLE,0,730.9129,0.72
21.30957321823,85.8988728712,573899852283501440,0.4325,0.0807,-0.814,0.099,4.986,0.116,0.00566,0,1.022,17.971247, 1.445471,NOT_AVAILABLE,0,957.2244,0.66
20.66630427117,85.84954678048,573899994018237696,0.9158,0.7397,1.435,0.925,6.417,1.598,0.00855,0,1.131,20.579132, 1.782234,NOT_AVAILABLE,0,,0.52
20.64333091284,85.89260843613,573900200177408384,0.0646,0.089,2.878,0.105,6.132,0.127,0.0107,0,1.008,18.126461, 1.154886,NOT_AVAILABLE,0,1424.1614,0.56
