ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,IPDgofha,IPDfmp,ruwe,phot_g_mean_mag,bp_rp,VarFlag,NSS,RAJ2000,DEJ2000,prob
132.56929530867,10.80753421652,1.9074,0.8371,-17.336,0.821,-7.643,0.654, 4.87e-02,  0,0.998,20.343874, 2.170111,NOT_AVAILABLE,0,132.56937374942, 10.80756818373,0.84
132.55721082455,10.81876554338,2.8507,0.6502,-12.276,0.692,-21.28,0.551, 3.69e-02,  0,1.05,20.204850, 1.486363,NOT_AVAILABLE,0,132.55726637294, 10.81886012047,0.58
132.57988626269,10.83721525721,3.3518,0.1043,-17.035,0.107,4.911,0.081, 1.38e-02,  0,0.982,17.377012, 2.569378,NOT_AVAILABLE,0,132.57996334929, 10.83719342889,0.88
132.62183557221,10.84911617896,2.2045,0.0224,-34.118,0.023,15.944,0.018, 2.64e-02,  0,0.958,14.346724, 1.094629,NOT_AVAILABLE,0,132.62198996672, 10.84904531744,0.84
132.74180922767,10.86808647515,2.7652,0.0823,-10.267,0.087,-2.816,0.063, 2.38e-02,  0,1.027,17.212725, 2.451464,NOT_AVAILABLE,0,132.74185569045, 10.86809898915,0.92
132.70757482287,10.91750738977,2.4002,0.0737,-10.748,0.084,-6.998,0.058, 1.86e-02,  0,0.979,17.035975, 2.057413,NOT_AVAILABLE,0,132.70762347345, 10.91753849117,0.9
132.41666136621,10.73713586918,1.5329,0.0164,-24.727,0.017,-15.056,0.013, 5.06e-02,  0,0.999,13.502562, 0.916370,NOT_AVAILABLE,0,132.41677322234, 10.73720278571,0.72
132.36789799136,10.75207511931,2.3194,0.0814,-16.502,0.087,-4.562,0.068, 5.52e-02,  0,1.016,17.092186, 2.187170,NOT_AVAILABLE,0,132.36797264322, 10.75209539313,0.88
132.49030508877,10.79244521538,2.1594,0.0151,-26.696,0.015,2.079,0.012, 4.31e-02,  0,0.937,13.234444, 0.805907,NOT_AVAILABLE,0,132.49042587210, 10.79243597532,0.84
132.4914392984,10.79358968095,2.164,0.0156,-26.442,0.015,2.005,0.012, 3.48e-02,  0,0.967,13.081532, 0.780008,NOT_AVAILABLE,0,132.49155893490, 10.79358076877,0.84
132.30173670019,10.75609878469,3.9056,1.235,-11.097,1.402,-1.591,1.027, 1.59e-01,  0,1.24,20.535100, 1.926018,NOT_AVAILABLE,0,132.30178690287, 10.75610585745,0.68
132.37519401322,10.83594809787,2.6009,0.0189,-16.289,0.02,-6.862,0.014, 6.09e-02,  0,0.89,13.728148, 1.018481,NOT_AVAILABLE,0,132.37526772168, 10.83597859445,0.88
